,Season,Min,Goals,Gls/90,Assists,Ast/90,SoT,SoT/90,G/SoT
0,2004-2005,70,1,1.29,0,0.00,4,5.14,0.25
1,2005-2006,911,6,0.59,3,0.30,23,2.27,0.26
2,2006-2007,1983,14,0.64,3,0.14,32,1.45,0.44
3,2007-2008,1973,10,0.46,12,0.55,33,1.51,0.18
4,2008-2009,2516,23,0.82,11,0.39,55,1.97,0.36
5,2009-2010,2805,34,1.09,9,0.29,104,3.34,0.32
6,2010-2011,2858,31,0.98,19,0.60,76,2.39,0.36
7,2011-2012,3270,50,1.38,16,0.44,114,3.14,0.35
8,2012-2013,2650,46,1.56,11,0.37,90,3.06,0.47
9,2013-2014,2501,28,1.01,11,0.40,79,2.84,0.27
10,2014-2015,3375,43,1.15,18,0.48,104,2.77,0.37
11,2015-2016,2729,26,0.86,14,0.46,75,2.47,0.31
12,2016-2017,2830,37,1.18,9,0.29,77,2.45,0.40
13,2017-2018,3000,34,1.02,12,0.36,94,2.82,0.34
14,2018-2019,2713,36,1.19,13,0.43,85,2.82,0.38
15,2019-2020,2880,25,0.78,21,0.66,63,1.97,0.32
16,2020-2021,3023,30,0.89,9,0.27,85,2.53,0.32
17,2021-2022,2153,6,0.25,14,0.59,28,1.17,0.21
18,2022-2023,963,6,0.56,9,0.84,27,2.52,0.22
19,19 Seasons,45203,486,0.97,214,0.43,1248,2.48,0.34
20,,Min,Gls,Gls,Ast,Ast,SoT,SoT/90,G/SoT
21,,Min,Gls,Gls,Ast,Ast,,,
22,,,,,,,SoT,SoT/90,G/SoT
23,,,,,,,,,
24,Barcelona (17 Seasons),42087,474,1.01,191,0.41,1193,2.55,0.35
25,Paris S-G (2 Seasons),3116,12,0.35,23,0.66,55,1.59,0.22
26,La Liga (17 Seasons),42087,474,1.01,191,0.41,1193,2.55,0.35
27,Ligue 1 (2 Seasons),3116,12,0.35,23,0.66,55,1.59,0.22
